"","x"
"1",6
"2",5
"3",4
"4",3
"5",2
"6",1
"7",38
"8",37
"9",36
"10",35
"11",34
"12",33
"13",32
"14",31
"15",30
"16",68
"17",67
"18",66
"19",65
"20",64
"21",63
"22",62
"23",61
"24",60
"25",59
"26",98
"27",97
"28",96
"29",95
"30",94
"31",93
"32",92
"33",91
"34",90
"35",89
"36",88
"37",127
"38",126
"39",125
"40",124
"41",123
"42",122
"43",121
"44",120
"45",119
"46",118
"47",117
"48",158
"49",157
"50",156
"51",155
"52",154
"53",153
"54",152
"55",151
"56",150
"57",149
"58",148
"59",147
"60",146
"61",187
"62",186
"63",185
"64",184
"65",183
"66",182
"67",181
"68",180
"69",179
"70",178
"71",177
"72",176
"73",175
"74",216
"75",215
"76",214
"77",213
"78",212
"79",211
"80",210
"81",209
"82",208
"83",207
"84",206
"85",205
"86",204
"87",246
"88",245
"89",244
"90",243
"91",242
"92",241
"93",240
"94",239
"95",238
"96",237
"97",236
"98",235
"99",234
"100",233
"101",277
"102",276
"103",275
"104",274
"105",273
"106",272
"107",271
"108",270
"109",269
"110",268
"111",267
"112",266
"113",265
"114",264
"115",263
"116",262
"117",307
"118",306
"119",305
"120",304
"121",303
"122",302
"123",301
"124",300
"125",299
"126",298
"127",297
"128",296
"129",295
"130",294
"131",293
"132",292
"133",291
"134",339
"135",338
"136",337
"137",336
"138",335
"139",334
"140",333
"141",332
"142",331
"143",330
"144",329
"145",328
"146",327
"147",326
"148",325
"149",324
"150",323
"151",322
"152",321
"153",320
"154",371
"155",370
"156",369
"157",368
"158",367
"159",366
"160",365
"161",364
"162",363
"163",362
"164",361
"165",360
"166",359
"167",358
"168",357
"169",356
"170",355
"171",354
"172",353
"173",352
"174",351
"175",350
"176",349
"177",406
"178",405
"179",404
"180",403
"181",402
"182",401
"183",400
"184",399
"185",398
"186",397
"187",396
"188",395
"189",394
"190",393
"191",392
"192",391
"193",390
"194",389
"195",388
"196",387
"197",386
"198",385
"199",384
"200",383
"201",382
"202",381
"203",380
"204",379
"205",378
"206",435
"207",434
"208",433
"209",432
"210",431
"211",430
"212",429
"213",428
"214",427
"215",426
"216",425
"217",424
"218",423
"219",422
"220",421
"221",420
"222",419
"223",418
"224",417
"225",416
"226",415
"227",414
"228",413
"229",412
"230",411
"231",410
"232",409
"233",408
"234",407
"235",464
"236",463
"237",462
"238",461
"239",460
"240",459
"241",458
"242",457
"243",456
"244",455
"245",454
"246",453
"247",452
"248",451
"249",450
"250",449
"251",448
"252",447
"253",446
"254",445
"255",444
"256",443
"257",442
"258",441
"259",440
"260",439
"261",438
"262",437
"263",436
"264",493
"265",492
"266",491
"267",490
"268",489
"269",488
"270",487
"271",486
"272",485
"273",484
"274",483
"275",482
"276",481
"277",480
"278",479
"279",478
"280",477
"281",476
"282",475
"283",474
"284",473
"285",472
"286",471
"287",470
"288",469
"289",468
"290",467
"291",466
"292",465
"293",522
"294",521
"295",520
"296",519
"297",518
"298",517
"299",516
"300",515
"301",514
"302",513
"303",512
"304",511
"305",510
"306",509
"307",508
"308",507
"309",506
"310",505
"311",504
"312",503
"313",502
"314",501
"315",500
"316",499
"317",498
"318",497
"319",496
"320",495
"321",494
"322",551
"323",550
"324",549
"325",548
"326",547
"327",546
"328",545
"329",544
"330",543
"331",542
"332",541
"333",540
"334",539
"335",538
"336",537
"337",536
"338",535
"339",534
"340",533
"341",532
"342",531
"343",530
"344",529
"345",528
"346",527
"347",526
"348",525
"349",524
"350",523
"351",580
"352",579
"353",578
"354",577
"355",576
"356",575
"357",574
"358",573
"359",572
"360",571
"361",570
"362",569
"363",568
"364",567
"365",566
"366",565
"367",564
"368",563
"369",562
"370",561
"371",560
"372",559
"373",558
"374",557
"375",556
"376",555
"377",554
"378",553
"379",552
"380",609
"381",608
"382",607
"383",606
"384",605
"385",604
"386",603
"387",602
"388",601
"389",600
"390",599
"391",598
"392",597
"393",596
"394",595
"395",594
"396",593
"397",592
"398",591
"399",590
"400",589
"401",588
"402",587
"403",586
"404",585
"405",584
"406",583
"407",582
"408",581
"409",638
"410",637
"411",636
"412",635
"413",634
"414",633
"415",632
"416",631
"417",630
"418",629
"419",628
"420",627
"421",626
"422",625
"423",624
"424",623
"425",622
"426",621
"427",620
"428",619
"429",618
"430",617
"431",616
"432",615
"433",614
"434",613
"435",612
"436",611
"437",667
"438",666
"439",665
"440",664
"441",663
"442",662
"443",661
"444",660
"445",659
"446",658
"447",657
"448",656
"449",655
"450",654
"451",653
"452",652
"453",651
"454",650
"455",649
"456",648
"457",647
"458",646
"459",645
"460",644
"461",643
"462",642
"463",641
"464",696
"465",695
"466",694
"467",693
"468",692
"469",691
"470",690
"471",689
"472",688
"473",687
"474",686
"475",685
"476",684
"477",683
"478",682
"479",681
"480",680
"481",679
"482",678
"483",677
